iter	Passed	Remaining
0	0	56
1	1	50
2	1	48
3	1	46
4	2	41
5	2	40
6	3	40
7	3	40
8	3	40
9	4	40
10	4	40
11	5	39
12	5	39
13	6	38
14	6	38
15	7	37
16	7	37
17	8	38
18	9	38
19	9	38
20	10	37
21	10	37
22	11	36
23	11	36
24	11	35
25	12	35
26	12	34
27	13	33
28	13	33
29	14	32
30	14	32
31	14	31
32	15	31
33	15	30
34	16	30
35	16	29
36	17	29
37	17	28
38	18	28
39	18	28
40	19	27
41	19	26
42	20	26
43	20	26
44	20	25
45	21	25
46	22	25
47	22	24
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	33	17
66	34	16
67	34	16
68	35	16
69	36	15
70	37	15
71	37	14
72	38	14
73	38	13
74	39	13
75	39	12
76	40	12
77	41	11
78	41	11
79	42	10
80	42	10
81	43	9
82	44	9
83	44	8
84	45	7
85	45	7
86	46	6
87	46	6
88	47	5
89	48	5
90	48	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	53	1
98	53	0
99	54	0

